register,value,group,meaning
0x37ca,0x21,analog/timing block (unknown detail),unknown
0x37cc,0x13,analog/timing block (unknown detail),unknown
0x37cd,0x90,analog/timing block (unknown detail),unknown
0x37cf,0x02,analog/timing block (unknown detail),unknown
0x37d1,0x3e,analog/timing block (unknown detail),unknown
0x37d2,0x00,analog/timing block (unknown detail),unknown
0x37d3,0xa3,analog/timing block (unknown detail),unknown
0x37d5,0x3e,analog/timing block (unknown detail),unknown
0x37d6,0x00,analog/timing block (unknown detail),unknown
0x37d7,0xa3,analog/timing block (unknown detail),unknown
0x37d8,0x01,analog/timing block (unknown detail),unknown
0x37da,0x00,analog/timing block (unknown detail),unknown
0x37db,0x00,analog/timing block (unknown detail),unknown
0x37dc,0x00,analog/timing block (unknown detail),unknown
0x37dd,0x00,analog/timing block (unknown detail),unknown
0x3800,0x00,core,x_addr_start[11:8]
0x3801,0x00,core,x_addr_start[7:0]
0x3802,0x00,core,y_addr_start[11:8]
0x3803,0x04,core,y_addr_start[7:0]
0x3804,0x07,core,x_addr_end[11:8]
0x3805,0x8f,core,x_addr_end[7:0]
0x3806,0x04,core,y_addr_end[11:8]
0x3807,0x43,core,y_addr_end[7:0]
0x3808,0x07,core,x_output_size[11:8] (0x780=1920)
0x3809,0x80,core,x_output_size[7:0]
0x380a,0x04,core,y_output_size[11:8] (0x438=1080)
0x380b,0x38,core,y_output_size[7:0]
0x380c,0x03,core,HTS[15:8] line_length_pclk high byte
0x380d,0x3f,core,HTS[7:0] line_length_pclk low byte
0x380e,0x08,core,VTS[15:8] frame_length_lines high byte
0x380f,0x75,core,VTS[7:0] frame_length_lines low byte
0x3811,0x08,unknown,unknown
0x3813,0x04,unknown,unknown
0x3814,0x01,unknown,unknown
0x3815,0x01,unknown,unknown
0x3816,0x01,unknown,unknown
0x3817,0x01,unknown,unknown
0x381c,0x00,unknown,unknown
0x3820,0x02,core,format1 (flip/binning control bits; value toggles between init runs; see notes)
0x3821,0x00,core,format2 (mirror control bits)
0x3822,0x14,unknown,unknown
0x3833,0x41,unknown,unknown
0x384c,0x02,unknown,unknown
0x384d,0xd0,unknown,unknown
0x3858,0x0d,unknown,unknown
0x3865,0x00,unknown,unknown
0x3866,0xc0,unknown,unknown
0x3867,0x00,unknown,unknown
0x3868,0xc0,unknown,unknown
0x3900,0x13,digital/BLC block (unknown detail),unknown
0x3940,0x13,digital/BLC block (unknown detail),unknown
0x3980,0x13,digital/BLC block (unknown detail),unknown
0x390c,0x03,digital/BLC block (unknown detail),unknown
0x390d,0x02,digital/BLC block (unknown detail),unknown
0x390e,0x01,digital/BLC block (unknown detail),unknown
0x390f,0x03,digital/BLC block (unknown detail),unknown
0x3910,0x02,digital/BLC block (unknown detail),unknown
0x3911,0x01,digital/BLC block (unknown detail),unknown
0x394c,0x02,digital/BLC block (unknown detail),unknown
0x394d,0x02,digital/BLC block (unknown detail),unknown
0x394e,0x01,digital/BLC block (unknown detail),unknown
0x394f,0x02,digital/BLC block (unknown detail),unknown
0x3950,0x02,digital/BLC block (unknown detail),unknown
0x3951,0x01,digital/BLC block (unknown detail),unknown
0x398c,0x02,digital/BLC block (unknown detail),unknown
0x398d,0x01,digital/BLC block (unknown detail),unknown
0x398e,0x01,digital/BLC block (unknown detail),unknown
0x398f,0x02,digital/BLC block (unknown detail),unknown
0x3990,0x01,digital/BLC block (unknown detail),unknown
0x3991,0x01,digital/BLC block (unknown detail),unknown
0x5395,0x38,DPC/LENC/digital (unknown detail),unknown
0x5392,0x14,DPC/LENC/digital (unknown detail),unknown
0x5396,0x02,DPC/LENC/digital (unknown detail),unknown
0x5397,0x01,DPC/LENC/digital (unknown detail),unknown
0x5398,0x01,DPC/LENC/digital (unknown detail),unknown
0x5399,0x02,DPC/LENC/digital (unknown detail),unknown
0x539a,0x01,DPC/LENC/digital (unknown detail),unknown
0x539b,0x01,DPC/LENC/digital (unknown detail),unknown
0x5415,0x38,LENC (unknown detail),unknown
0x5412,0x14,LENC (unknown detail),unknown
0x5416,0x01,LENC (unknown detail),unknown
0x5417,0x01,LENC (unknown detail),unknown
0x5418,0x01,LENC (unknown detail),unknown
0x5419,0x01,LENC (unknown detail),unknown
0x541a,0x01,LENC (unknown detail),unknown
0x541b,0x01,LENC (unknown detail),unknown
0x5495,0x38,LENC (unknown detail),unknown
0x5492,0x14,LENC (unknown detail),unknown
0x5496,0x01,LENC (unknown detail),unknown
0x5497,0x01,LENC (unknown detail),unknown
0x5498,0x01,LENC (unknown detail),unknown
0x5499,0x01,LENC (unknown detail),unknown
0x549a,0x01,LENC (unknown detail),unknown
0x549b,0x01,LENC (unknown detail),unknown
0x3c01,0x11,DPC/black-level block (unknown detail),unknown
0x3c05,0x00,DPC/black-level block (unknown detail),unknown
0x3c0f,0x1c,DPC/black-level block (unknown detail),unknown
0x3c12,0x0d,DPC/black-level block (unknown detail),unknown
0x3c14,0x21,DPC/black-level block (unknown detail),unknown
0x3c19,0x01,DPC/black-level block (unknown detail),unknown
0x3c21,0x40,DPC/black-level block (unknown detail),unknown
0x3c3b,0x18,DPC/black-level block (unknown detail),unknown
0x3c3d,0xc9,DPC/black-level block (unknown detail),unknown
0x3c55,0xcb,DPC/black-level block (unknown detail),unknown
0x3c5d,0xcf,DPC/black-level block (unknown detail),unknown
0x3c5e,0xcf,DPC/black-level block (unknown detail),unknown
0x3ce0,0x00,DPC/black-level block (unknown detail),unknown
0x3ce1,0x00,DPC/black-level block (unknown detail),unknown
0x3ce2,0x00,DPC/black-level block (unknown detail),unknown
0x3ce3,0x00,DPC/black-level block (unknown detail),unknown
0x3d8c,0x70,reserved (unknown detail),unknown
0x3d8d,0x10,reserved (unknown detail),unknown
0x4001,0x2f,digital gain/BLC block (unknown detail),unknown
0x4033,0x80,digital gain/BLC block (unknown detail),unknown
0x4008,0x02,digital gain/BLC block (unknown detail),unknown
0x4009,0x11,digital gain/BLC block (unknown detail),unknown
0x4004,0x00,digital gain/BLC block (unknown detail),unknown
0x4005,0x40,digital gain/BLC block (unknown detail),unknown
0x400a,0x01,digital gain/BLC block (unknown detail),unknown
0x400b,0x3c,digital gain/BLC block (unknown detail),unknown
0x400e,0x40,digital gain/BLC block (unknown detail),unknown
0x4011,0xbb,digital gain/BLC block (unknown detail),unknown
0x410f,0x01,reserved/timing (unknown detail),unknown
0x4028,0x6f,digital gain/BLC block (unknown detail),unknown
0x4029,0x0f,digital gain/BLC block (unknown detail),unknown
0x402a,0x3f,digital gain/BLC block (unknown detail),unknown
0x402b,0x01,digital gain/BLC block (unknown detail),unknown
0x402e,0x00,digital gain/BLC block (unknown detail),unknown
0x402f,0x40,digital gain/BLC block (unknown detail),unknown
0x4030,0x00,digital gain/BLC block (unknown detail),unknown
0x4031,0x40,digital gain/BLC block (unknown detail),unknown
0x4032,0x2f,digital gain/BLC block (unknown detail),unknown
0x4050,0x00,digital gain/BLC block (unknown detail),unknown
0x4051,0x07,digital gain/BLC block (unknown detail),unknown
0x4288,0xcf,reserved/timing (unknown detail),unknown
0x4289,0x03,reserved/timing (unknown detail),unknown
0x428a,0x46,reserved/timing (unknown detail),unknown
0x430b,0x0f,DPC (unknown detail),unknown
0x430c,0xfc,DPC (unknown detail),unknown
0x430d,0x00,DPC (unknown detail),unknown
0x430e,0x00,DPC (unknown detail),unknown
0x4314,0x04,DPC (unknown detail),unknown
0x4500,0x18,BLC/LSC (unknown detail),unknown
0x4501,0x18,BLC/LSC (unknown detail),unknown
0x4504,0x00,BLC/LSC (unknown detail),unknown
0x4507,0x02,BLC/LSC (unknown detail),unknown
0x4508,0x1a,BLC/LSC (unknown detail),unknown
0x4603,0x00,BLC/LSC (unknown detail),unknown
0x4640,0x62,BLC/LSC (unknown detail),unknown
0x4646,0xaa,BLC/LSC (unknown detail),unknown
0x4647,0x55,BLC/LSC (unknown detail),unknown
0x4648,0x99,BLC/LSC (unknown detail),unknown
0x4649,0x66,BLC/LSC (unknown detail),unknown
0x464d,0x00,BLC/LSC (unknown detail),unknown
0x4654,0x11,BLC/LSC (unknown detail),unknown
0x4655,0x22,BLC/LSC (unknown detail),unknown
0x4800,0x04,MIPI TX PHY/timing (unknown detail),unknown
0x4810,0xff,MIPI TX PHY/timing (unknown detail),unknown
0x4811,0xff,MIPI TX PHY/timing (unknown detail),unknown
0x480e,0x00,MIPI TX PHY/timing (unknown detail),unknown
0x4813,0x00,MIPI TX PHY/timing (unknown detail),unknown
0x4837,0x0a,MIPI TX PHY/timing (unknown detail),unknown
