# os02k10_init.txt
#
# Recovered OS02K10 sensor initialization write sequence: 2-lane MIPI,
# 1920x1080, 10-bit linear mode, 60 FPS (matches boot-log
# "sensor=os02k10" / "OS02K10_2Lane_60FPS_10BIT_LINEAR_MODE").
#
# Source: ar_ldyhs_sky (Ascent_H_Sky_18_21_10 firmware, fpv/ partition),
# function at 0x000fb890 (called from os02k10_init @ 0x000fcb28), recovered
# via Ghidra decompilation cross-checked against a from-scratch ARM/Thumb
# disassembly walk (see OS02K10_ASCENT_REGISTER_RE.md for method).
#
# Format: SEQ  WRITE  0xREG  0xVAL   |   SEQ  DELAY  Nms
# Order and duplicate writes are preserved exactly as compiled; do not
# collapse or reorder them.
#
0165 WRITE 0x3816 0x01
0166 WRITE 0x3817 0x01
0167 WRITE 0x381c 0x00
0168 WRITE 0x3820 0x02
0169 WRITE 0x3821 0x00
0170 WRITE 0x3822 0x14
0171 WRITE 0x3833 0x41
0172 WRITE 0x384c 0x02
0173 WRITE 0x384d 0xd0
0174 WRITE 0x3858 0x0d
0175 WRITE 0x3865 0x00
0176 WRITE 0x3866 0xc0
0177 WRITE 0x3867 0x00
0178 WRITE 0x3868 0xc0
0179 WRITE 0x3900 0x13
0180 WRITE 0x3940 0x13
0181 WRITE 0x3980 0x13
0182 WRITE 0x390c 0x03
0183 WRITE 0x390d 0x02
0184 WRITE 0x390e 0x01
0185 WRITE 0x390f 0x03
0186 WRITE 0x3910 0x02
0187 WRITE 0x3911 0x01
0188 WRITE 0x394c 0x02
0189 WRITE 0x394d 0x02
0190 WRITE 0x394e 0x01
0191 WRITE 0x394f 0x02
0192 WRITE 0x3950 0x02
0193 WRITE 0x3951 0x01
0194 WRITE 0x398c 0x02
0195 WRITE 0x398d 0x01
0196 WRITE 0x398e 0x01
0197 WRITE 0x398f 0x02
0198 WRITE 0x3990 0x01
0199 WRITE 0x3991 0x01
0200 WRITE 0x5395 0x38
0201 WRITE 0x5392 0x14
0202 WRITE 0x5396 0x02
0203 WRITE 0x5397 0x01
0204 WRITE 0x5398 0x01
0205 WRITE 0x5399 0x02
0206 WRITE 0x539a 0x01
0207 WRITE 0x539b 0x01
0208 WRITE 0x5415 0x38
0209 WRITE 0x5412 0x14
0210 WRITE 0x5416 0x01
0211 WRITE 0x5417 0x01
0212 WRITE 0x5418 0x01
0213 WRITE 0x5419 0x01
0214 WRITE 0x541a 0x01
0215 WRITE 0x541b 0x01
0216 WRITE 0x5495 0x38
0217 WRITE 0x5492 0x14
0218 WRITE 0x5496 0x01
0219 WRITE 0x5497 0x01
0220 WRITE 0x5498 0x01
0221 WRITE 0x5499 0x01
0222 WRITE 0x549a 0x01
0223 WRITE 0x549b 0x01
0224 WRITE 0x3c01 0x11
0225 WRITE 0x3c05 0x00
0226 WRITE 0x3c0f 0x1c
0227 WRITE 0x3c12 0x0d
0228 WRITE 0x3c14 0x21
0229 WRITE 0x3c19 0x01
0230 WRITE 0x3c21 0x40
0231 WRITE 0x3c3b 0x18
0232 WRITE 0x3c3d 0xc9
0233 WRITE 0x3c55 0xcb
0234 WRITE 0x3c5d 0xcf
0235 WRITE 0x3c5e 0xcf
0236 WRITE 0x3ce0 0x00
0237 WRITE 0x3ce1 0x00
0238 WRITE 0x3ce2 0x00
0239 WRITE 0x3ce3 0x00
0240 WRITE 0x3d8c 0x70
0241 WRITE 0x3d8d 0x10
0242 WRITE 0x4001 0x2f
0243 WRITE 0x4033 0x80
0244 WRITE 0x4008 0x02
0245 WRITE 0x4009 0x11
0246 WRITE 0x4004 0x00
0247 WRITE 0x4005 0x40
0248 WRITE 0x400a 0x01
0249 WRITE 0x400b 0x3c
0250 WRITE 0x400e 0x40
0251 WRITE 0x4011 0xbb
0252 WRITE 0x410f 0x01
0253 WRITE 0x4028 0x6f
0254 WRITE 0x4029 0x0f
0255 WRITE 0x402a 0x3f
0256 WRITE 0x402b 0x01
0257 WRITE 0x402e 0x00
0258 WRITE 0x402f 0x40
0259 WRITE 0x4030 0x00
0260 WRITE 0x4031 0x40
0261 WRITE 0x4032 0x2f
0262 WRITE 0x4050 0x00
0263 WRITE 0x4051 0x07
0264 WRITE 0x4288 0xcf
0265 WRITE 0x4289 0x03
0266 WRITE 0x428a 0x46
0267 WRITE 0x430b 0x0f
0268 WRITE 0x430c 0xfc
0269 WRITE 0x430d 0x00
0270 WRITE 0x430e 0x00
0271 WRITE 0x4314 0x04
0272 WRITE 0x4500 0x18
0273 WRITE 0x4501 0x18
0274 WRITE 0x4504 0x00
0275 WRITE 0x4507 0x02
0276 WRITE 0x4508 0x1a
0277 WRITE 0x4603 0x00
0278 WRITE 0x4640 0x62
0279 WRITE 0x4646 0xaa
0280 WRITE 0x4647 0x55
0281 WRITE 0x4648 0x99
0282 WRITE 0x4649 0x66
0283 WRITE 0x464d 0x00
0284 WRITE 0x4654 0x11
0285 WRITE 0x4655 0x22
0286 WRITE 0x4800 0x04
0287 WRITE 0x4810 0xff
0288 WRITE 0x4811 0xff
0289 WRITE 0x480e 0x00
0290 WRITE 0x4813 0x00
0291 WRITE 0x4837 0x0e
0292 WRITE 0x484b 0x27
0293 WRITE 0x4d00 0x4e
0294 WRITE 0x4d01 0x0c
0295 WRITE 0x4d02 0xb8
0296 WRITE 0x4d03 0xea
0297 WRITE 0x4d04 0x74
0298 WRITE 0x4d05 0xb7
0299 WRITE 0x4d09 0x4f
0300 WRITE 0x5000 0x1f
0301 WRITE 0x5080 0x00
0302 WRITE 0x50c0 0x00
0303 WRITE 0x5100 0x00
0304 WRITE 0x5200 0x00
0305 WRITE 0x5201 0x70
0306 WRITE 0x5202 0x03
0307 WRITE 0x5203 0x7f
0308 WRITE 0x5780 0x53
0309 WRITE 0x5786 0x01
0310 WRITE 0x3501 0x02
0311 WRITE 0x382a 0x08
0312 WRITE 0x0303 0x05
0313 WRITE 0x0305 0xf9
0314 WRITE 0x4837 0x0a
0315 WRITE 0x3012 0x21
0316 WRITE 0x380c 0x03
0317 WRITE 0x380d 0x3f
0318 WRITE 0x380e 0x08
0319 WRITE 0x380f 0x75
0320 WRITE 0x3501 0x04
0321 WRITE 0x3502 0xda
0322 WRITE 0x0100 0x01

# ---------------------------------------------------------------------
# Alternate FPS-mode tails
#
# os02k10_init() picks one FPS profile at pipe-init time from board/context
# config (param_2 in the decompiled function: 0x32=50fps, 0x3c=60fps,
# 0x64=100fps) and executes ONLY the matching tail below in place of the
# "60 FPS tail" block already inlined above (sequence numbers 0316-0322).
# 0x380c/0x380d (HTS) are identical in all three; only 0x380e/0x380f (VTS)
# differ, which is what actually changes the frame rate (HTS * VTS is held
# at a fixed pixel clock).
#
# 50 FPS tail (param_2 == 0x32):
     WRITE 0x380c 0x03
     WRITE 0x380d 0x3f
     WRITE 0x380e 0x0a
     WRITE 0x380f 0x26
     WRITE 0x3501 0x04
     WRITE 0x3502 0xda
     WRITE 0x0100 0x01
#
# 100 FPS tail (param_2 == 0x64):
     WRITE 0x380c 0x03
     WRITE 0x380d 0x3f
     WRITE 0x380e 0x05
     WRITE 0x380f 0x12
     WRITE 0x3501 0x04
     WRITE 0x3502 0xda
     WRITE 0x0100 0x01
#
# VTS decode: 50fps -> 0x0a26=2598 lines, 60fps -> 0x0875=2165 lines,
# 100fps -> 0x0512=1298 lines.  HTS fixed at 0x033f=831.  Ratios
# (2598/2165=1.200, 2598/1298=2.002) match the 50:60:100 fps ratios,
# cross-confirming the recovered values.
